Energy,Mean Intensity,ROI,Normalized Mean Intensity,pre_edge_line,post_edge_line,mu
280.0,0.5351907,a,0.006159420704836787,0.5334198401841419,0.8369430471522536,0.5351907014846802
280.5,0.52992266,a,-0.007233332086678235,0.5320022798436695,0.8335231510892411,0.5299226641654968
281.0,0.52640206,a,-0.014548165255709719,0.5305847195031973,0.8301032550262291,0.5264020562171936
281.5,0.5252217,a,-0.013723101500172306,0.529167159162725,0.8266833589632168,0.5252217054367065
282.0,0.53556186,a,0.02717265367921263,0.5277495988222528,0.8232634629002047,0.5355618596076965
282.5,0.5310516,a,0.016415525002055766,0.5263320384817805,0.8198435668371924,0.5310515761375427
283.0,0.5272732,a,0.008204044755654737,0.5249144781413082,0.8164236707741801,0.5272731781005859
283.5,0.526268,a,0.009638413889316796,0.523496917800836,0.813003774711168,0.5262680053710938
283.6,0.5192938,a,-0.013633248692344503,0.5232134057327414,0.8123197954985653,0.5192937850952148
283.7,0.51292783,a,-0.03478923880590071,0.522929893664647,0.8116358162859632,0.5129278302192688
283.8,0.5252217,a,0.008957507275066019,0.5226463815965525,0.8109518370733606,0.5252217054367065
283.9,0.5244845,a,0.007379521034664278,0.5223628695284581,0.8102678578607583,0.5244845151901245
284.0,0.52655154,a,0.015555189140853631,0.5220793574603636,0.8095838786481557,0.5265515446662903
284.1,0.5312062,a,0.0341240280250098,0.5217958453922691,0.808899899435553,0.5312061905860901
284.2,0.525402,a,0.016314910223374612,0.5215123333241748,0.8082159202229511,0.5254020094871521
284.3,0.53063405,a,0.0368920312435953,0.5212288212560803,0.8075319410103483,0.5306340456008911
284.4,0.5347113,a,0.05345258799168551,0.5209453091879859,0.806847961797746,0.5347113013267517
284.5,0.54019076,a,0.07489028288893596,0.5206617971198914,0.8061639825851437,0.5401907563209534
284.6,0.54212886,a,0.0840104310914287,0.5203782850517968,0.8054800033725409,0.54212886095047
284.7,0.5610206,a,0.15209885939833756,0.5200947729837024,0.8047960241599386,0.5610206127166748
284.8,0.5876186,a,0.24699112677716206,0.5198112609156079,0.804112044947336,0.5876185894012451
284.9,0.59852064,a,0.2872897152029139,0.5195277488475136,0.8034280657347339,0.5985206365585327
285.0,0.6043608,a,0.3099820940567526,0.5192442367794191,0.8027440865221314,0.604360818862915
285.1,0.61816496,a,0.360374751742633,0.5189607247113246,0.8020601073095286,0.6181649565696716
285.2,0.60828865,a,0.32840192719445294,0.5186772126432302,0.8013761280969265,0.6082886457443237
285.3,0.6056495,a,0.3216013550132415,0.5183937005751357,0.8006921488843239,0.605649471282959
285.4,0.5983557,a,0.29861117198373677,0.5181101885070414,0.8000081696717216,0.5983557105064392
285.5,0.59892786,a,0.30298023092100923,0.5178266764389468,0.7993241904591188,0.5989278554916382
285.6,0.5951392,a,0.2921815457023239,0.5175431643708522,0.7986402112465165,0.59513920545578
285.7,0.57985055,a,0.24138348619149386,0.5172596523027579,0.7979562320339142,0.5798505544662476
285.8,0.5761959,a,0.23105085013579818,0.5169761402346634,0.7972722528213116,0.5761958956718445
285.9,0.57811856,a,0.24011730317226887,0.516692628166569,0.7965882736087093,0.5781185626983643
286.0,0.5863144,a,0.27100306679945363,0.5164091160984745,0.7959042943961068,0.5863143801689148
286.1,0.5929433,a,0.2964388747341782,0.51612560403038,0.7952203151835042,0.5929433107376099
286.2,0.5986392,a,0.3186293385419324,0.5158420919622857,0.7945363359709019,0.598639190196991
286.3,0.61111856,a,0.3644141631777267,0.5155585798941912,0.7938523567582996,0.6111185550689697
286.4,0.63561857,a,0.45200927822608805,0.5152750678260968,0.793168377545697,0.6356185674667358
286.5,0.666866,a,0.5630733271702792,0.5149915557580023,0.7924843983330945,0.6668660044670105
286.6,0.6724742,a,0.5849588273131062,0.5147080436899077,0.7918004191204921,0.672474205493927
286.7,0.66787624,a,0.5713451885645895,0.5144245316218133,0.7911164399078896,0.6678762435913086
286.8,0.6627784,a,0.5559927800963275,0.5141410195537188,0.790432460695287,0.662778377532959
286.9,0.6641907,a,0.5632841828954716,0.5138575074856245,0.7897484814826847,0.6641907095909119
287.0,0.68041235,a,0.6220854206532652,0.51357399541753,0.7890645022700824,0.6804123520851135
287.1,0.6879639,a,0.6507302921973778,0.5132904833494355,0.7883805230574799,0.6879639029502869
287.2,0.72286093,a,0.7744883759502018,0.5130069712813411,0.7876965438448773,0.7228609323501587
287.3,0.7417217,a,0.842468999290583,0.5127234592132466,0.787012564632275,0.7417216897010803
287.4,0.7665258,a,0.9311218469143746,0.5124399471451522,0.7863285854196727,0.7665258049964905
287.5,0.7897114,a,1.0141452021129902,0.5121564350770577,0.7856446062070699,0.7897114157676697
287.6,0.80641747,a,1.0746313071072662,0.5118729230089631,0.7849606269944673,0.8064174652099609
287.7,0.8266237,a,1.147291702581164,0.5115894109408688,0.7842766477818652,0.8266236782073975
287.8,0.8635876,a,1.2782389263806802,0.5113058988727743,0.7835926685692627,0.8635876178741455
287.9,0.8799794,a,1.3376318475509161,0.5110223868046799,0.7829086893566604,0.8799793720245361
288.0,0.9087835,a,1.440197548056835,0.5107388747365854,0.7822247101440576,0.908783495426178
288.1,0.9172062,a,1.4718725684293472,0.5104553626684909,0.7815407309314553,0.9172062277793884
288.2,0.9095051,a,1.447465579358977,0.5101718506003965,0.7808567517188529,0.9095051288604736
288.3,0.9242217,a,1.5010318494056374,0.509888338532302,0.7801727725062502,0.9242216944694519
288.4,0.92287636,a,1.4987315126252239,0.5096048264642077,0.7794887932936483,0.9228763580322266
288.5,0.94369596,a,1.5735254098501552,0.5093213143961132,0.7788048140810455,0.9436959624290466
288.6,0.9138556,a,1.472113540506316,0.5090378023280187,0.778120834868443,0.9138556122779846
288.7,0.88815975,a,1.3851170610424148,0.5087542902599242,0.7774368556558406,0.8881597518920898
288.8,0.85971653,a,1.2885647078820535,0.5084707781918297,0.7767528764432381,0.859716534614563
288.9,0.84056705,a,1.224337881252255,0.5081872661237353,0.776068897230636,0.8405670523643494
289.0,0.8118505,a,1.1268347712140179,0.5079037540556408,0.7753849180180332,0.8118504881858826
289.1,0.8254948,a,1.17667161137055,0.5076202419875463,0.7747009388054307,0.8254948258399963
289.2,0.8194896,a,1.1581632125071888,0.507336729919452,0.7740169595928286,0.819489598274231
289.3,0.8053918,a,1.1115071442006996,0.5070532178513575,0.7733329803802258,0.805391788482666
289.4,0.781835,a,1.0319508659651535,0.5067697057832631,0.7726490011676237,0.7818350195884705
289.5,0.7881133,a,1.0561670265574121,0.5064861937151686,0.7719650219550211,0.7881132960319519
289.6,0.78049487,a,1.0320475865035315,0.506202681647074,0.7712810427424184,0.7804948687553406
289.7,0.7836805,a,1.0455068846087605,0.5059191695789796,0.7705970635298163,0.7836804986000061
289.8,0.78617007,a,1.0565451319464718,0.5056356575108851,0.7699130843172137,0.7861700654029846
289.9,0.7741495,a,1.0171140695697671,0.5053521454427908,0.7692291051046116,0.774149477481842
290.0,0.7841701,a,1.054346850601269,0.5050686333746963,0.7685451258920089,0.7841700911521912
290.1,0.7749588,a,1.0246870645368396,0.5047851213066018,0.7678611466794061,0.7749587893486023
290.2,0.7791907,a,1.04178560953135,0.5045016092385074,0.7671771674668042,0.779190719127655
290.3,0.78293824,a,1.0571992872893818,0.5042180971704129,0.7664931882542014,0.7829382419586182
290.4,0.7722165,a,1.0222858749619164,0.5039345851023186,0.7658092090415993,0.7722164988517761
290.5,0.7708145,a,1.0197883794831055,0.5036510730342241,0.7651252298289968,0.7708144783973694
290.6,0.7837888,a,1.067294766507451,0.5033675609661294,0.764441250616394,0.783788800239563
290.7,0.7817836,a,1.0626992205262156,0.5030840488980352,0.7637572714037919,0.7817835807800293
290.8,0.7793145,a,1.056490331757447,0.5028005368299406,0.7630732921911891,0.7793145179748535
290.9,0.76720107,a,1.016736269115646,0.5025170247618462,0.762389312978587,0.7672010660171509
291.0,0.7760773,a,1.0499885590753566,0.5022335126937517,0.7617053337659845,0.7760772705078125
291.5,0.7890773,a,1.1071003827060495,0.5008159523532795,0.7582854377029722,0.7890772819519043
292.0,0.76416504,a,1.0323455859145856,0.4993983920128072,0.7548655416399601,0.7641650438308716
292.5,0.7609279,a,1.0329812900228408,0.49798083167233487,0.7514456455769476,0.7609279155731201
293.0,0.72060305,a,0.904618193135817,0.4965632713318626,0.7480257495139355,0.7206030488014221
293.5,0.7088093,a,0.8754922630616756,0.4951457109913904,0.7446058534509232,0.7088093161582947
294.0,0.67879885,a,0.7830047931798714,0.493728150650918,0.7411859573879107,0.6787988543510437
294.5,0.6570774,a,0.7193481030579438,0.4923105903104458,0.7377660613248986,0.6570773720741272
295.0,0.6660619,a,0.7624931713232478,0.4908930299699735,0.7343461652618863,0.6660618782043457
295.5,0.669902,a,0.7877451029518778,0.4894754696295013,0.7309262691988743,0.6699020266532898
296.0,0.69226795,a,0.8774335142947991,0.4880579092890289,0.727506373135862,0.6922679543495178
296.5,0.716567,a,0.973845638473153,0.4866403489485567,0.7240864770728499,0.7165669798851013
297.0,0.75622165,a,1.1236678674624507,0.48522278860808443,0.7206665810098376,0.7562216520309448
297.5,0.7483609,a,1.108221558371697,0.4838052282676121,0.7172466849468253,0.7483608722686768
298.0,0.7451598,a,1.1089826894121608,0.48238766792713983,0.7138267888838132,0.7451598048210144
298.5,0.72852063,a,1.0630033186766084,0.4809701075866676,0.7104068928208009,0.7285206317901611
299.0,0.7366495,a,1.1031723479140187,0.4795525472461952,0.7069869967577886,0.7366495132446289
299.5,0.7504999,a,1.1632419666551932,0.478134986905723,0.7035671006947763,0.7504999041557312
300.0,0.7677216,a,1.2350376559959282,0.47671742656525073,0.700147204631764,0.7677215933799744
280.0,0.3517479,b,-0.003544225446717565,0.3526936559839129,0.6255455319755767,0.35174790024757385
280.5,0.35189074,b,0.0016857975591534273,0.3514408976050315,0.6235418046594993,0.3518907427787781
281.0,0.3439958,b,-0.023205793580189735,0.3501881392261501,0.6215380773434216,0.3439958095550537
281.5,0.35323527,b,0.016113878145836417,0.3489353808472687,0.6195343500273438,0.35323527455329895
282.0,0.35117644,b,0.01309310540011458,0.3476826224683873,0.6175306227112662,0.3511764407157898
282.5,0.34826052,b,0.006860401377387244,0.34642986408950593,0.6155268953951888,0.3482605218887329
283.0,0.34832773,b,0.011806969409822444,0.34517710571062454,0.6135231680791111,0.34832772612571716
283.5,0.34084454,b,-0.011541590242921463,0.34392434733174315,0.6115194407630333,0.3408445417881012
283.6,0.342937,b,-0.002761173820484178,0.3436737956559668,0.6111186952998178,0.34293699264526367
283.7,0.33961347,b,-0.01427716099240807,0.34342324398019064,0.6107179498366024,0.3396134674549103
283.8,0.3429244,b,-0.0009305284198831663,0.3431726923044143,0.6103172043733869,0.3429243862628937
283.9,0.34471008,b,0.006700320610285907,0.34292214062863813,0.6099164589101713,0.3447100818157196
284.0,0.34807146,b,0.020236034849487994,0.34267158895286176,0.6095157134469558,0.34807145595550537
284.1,0.3424496,b,0.0006699116033672681,0.3424210372770854,0.6091149679837403,0.3424496054649353
284.2,0.35781938,b,0.05977002633958761,0.34217048560130925,0.6087142225205249,0.3578193783760071
284.3,0.35879412,b,0.06492468366681081,0.3419199339255329,0.6083134770573093,0.35879412293434143
284.4,0.36129412,b,0.075795236220775,0.34166938224975674,0.6079127315940939,0.36129412055015564
284.5,0.3597479,b,0.07150251127733875,0.34141883057398037,0.6075119861308783,0.35974788665771484
284.6,0.38263866,b,0.15878763289345632,0.341168278898204,0.6071112406676626,0.3826386630535126
284.7,0.38687813,b,0.1761768680457365,0.34091772722242786,0.6067104952044473,0.3868781328201294
284.8,0.39923948,b,0.22400289068249024,0.3406671755466515,0.6063097497412315,0.3992394804954529
284.9,0.416458,b,0.2900312346630418,0.34041662387087535,0.6059090042780164,0.41645801067352295
285.0,0.42687815,b,0.3305825830879304,0.340166072195099,0.6055082588148006,0.4268781542778015
285.1,0.42144117,b,0.3117092380924895,0.3399155205193226,0.6051075133515849,0.4214411675930023
285.2,0.4218487,b,0.31473831817210307,0.33966496884354647,0.6047067678883696,0.42184871435165405
285.3,0.4209874,b,0.313012323803727,0.3394144171677701,0.6043060224251539,0.42098739743232727
285.4,0.41355884,b,0.2866755579829019,0.33916386549199395,0.6039052769619386,0.41355884075164795
285.5,0.41950423,b,0.3104577191140798,0.3389133138162176,0.6035045314987229,0.41950422525405884
285.6,0.406042,b,0.2615097791002232,0.3386627621404412,0.6031037860355073,0.4060420095920563
285.7,0.40611345,b,0.26327928266667366,0.3384122104646651,0.602703040572292,0.4061134457588196
285.8,0.39610925,b,0.22729030540998874,0.3381616587888887,0.6023022951090764,0.3961092531681061
285.9,0.39993697,b,0.24313650907567064,0.33791110711311256,0.6019015496458608,0.3999369740486145
286.0,0.4072353,b,0.2719888063097097,0.3376605554373362,0.6015008041826454,0.4072352945804596
286.1,0.40975213,b,0.28292246054215797,0.33741000376155983,0.6011000587194298,0.40975213050842285
286.2,0.41564283,b,0.30649968082374657,0.3371594520857837,0.6006993132562144,0.4156428277492523
286.3,0.4343824,b,0.3782281725325174,0.3369089004100073,0.6002985677929988,0.4343824088573456
286.4,0.45375627,b,0.45233364304335,0.33665834873423117,0.5998978223297834,0.45375627279281616
286.5,0.47264293,b,0.5246132972004678,0.3364077970584548,0.599497076866568,0.4726429283618927
286.6,0.47620168,b,0.5394515492762142,0.33615724538267844,0.5990963314033522,0.4762016832828522
286.7,0.4846891,b,0.5727599418550579,0.3359066937069023,0.5986955859401368,0.4846890866756439
286.8,0.4733193,b,0.5316533626311654,0.3356561420311259,0.598294840476921,0.47331929206848145
286.9,0.48091596,b,0.5616237322604231,0.33540559035534967,0.5978940950137057,0.48091596364974976
287.0,0.47184452,b,0.5291302529385662,0.3351550386795734,0.5974933495504902,0.47184452414512634
287.1,0.49196216,b,0.6060230306881852,0.33490448700379705,0.5970926040872744,0.49196216464042664
287.2,0.50549996,b,0.6582577944897824,0.3346539353280209,0.5966918586240592,0.5054999589920044
287.3,0.5251093,b,0.7332456833399051,0.33440338365224453,0.5962911131608435,0.5251092910766602
287.4,0.538521,b,0.7850079105013896,0.3341528319764683,0.5958903676976282,0.5385209918022156
287.5,0.55806303,b,0.859743616006352,0.333902280300692,0.5954896222344124,0.5580630302429199
287.6,0.57051677,b,0.9079158602418642,0.33365172862491566,0.5950888767711968,0.5705167651176453
287.7,0.5933907,b,0.9951378801794969,0.3334011769491395,0.5946881313079815,0.593390703201294
